"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A101","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C101,C104,C105","3","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C103","1","10u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D4,D6,D8,D9,D10,D13,D14,D19,D20,D21,D22,D101","12","D","","","","Diode_SMD:D_SOD-323_HandSoldering","~"
"J2,J3,J102,J103","4","Conn_01x01_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J11","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J19,J23","2","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J104,J106","2","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J105","1","Conn_02x04_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J107","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1,R2","2","220R","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5,R7,R10,R12,R21,R23,R25,R27,R101,R103,R104","11","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6,R8,R11,R13","4","22k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R19,R22,R24,R26","4","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"R108,R109","2","4k7","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV1,RV2,RV3,RV4","4","50k","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U4","1","L7805","","","","Package_TO_SOT_SMD:SOT-223","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U6","1","TL074","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U101","1","6N138","","","","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf"
"U102","1","DAC6573","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
