Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_1206_3216Metric",137.000000,-50.150000,180.000000,top
"C103","10u","C_1206_3216Metric",129.800000,-110.600000,180.000000,top
"C104","100n","C_1206_3216Metric",132.955643,-72.240000,90.000000,top
"C105","100n","C_1206_3216Metric",135.460643,-72.272500,90.000000,top
"D4","D","D_SOD-323_HandSoldering",124.955643,-92.040000,0.000000,top
"D6","D","D_SOD-323_HandSoldering",124.955643,-89.940000,0.000000,top
"D8","D","D_SOD-323_HandSoldering",124.955643,-79.140000,0.000000,top
"D9","D","D_SOD-323_HandSoldering",129.900000,-114.600000,0.000000,top
"D10","D","D_SOD-323_HandSoldering",134.400000,-114.600000,0.000000,top
"D13","D","D_SOD-323_HandSoldering",129.800000,-108.200000,0.000000,top
"D14","D","D_SOD-323_HandSoldering",124.955643,-74.970000,0.000000,top
"D19","D","D_SOD-323_HandSoldering",124.955643,-96.440000,0.000000,top
"D20","D","D_SOD-323_HandSoldering",124.955643,-87.940000,0.000000,top
"D21","D","D_SOD-323_HandSoldering",124.955643,-81.140000,0.000000,top
"D22","D","D_SOD-323_HandSoldering",124.955643,-77.040000,0.000000,top
"D101","D","D_SOD-323_HandSoldering",135.655643,-87.990000,90.000000,top
"R1","220R","R_1206_3216Metric",137.955643,-87.890000,-90.000000,top
"R2","2k2","R_1206_3216Metric",136.955643,-91.790000,180.000000,top
"R5","1k","R_1206_3216Metric",120.255643,-65.840000,0.000000,top
"R6","22k","R_1206_3216Metric",124.933143,-70.540000,180.000000,top
"R7","1k","R_1206_3216Metric",120.255643,-59.840000,0.000000,top
"R8","22k","R_1206_3216Metric",124.955643,-65.840000,180.000000,top
"R10","1k","R_1206_3216Metric",120.255643,-54.600000,0.000000,top
"R11","22k","R_1206_3216Metric",124.955643,-59.840000,180.000000,top
"R12","1k","R_1206_3216Metric",121.300000,-49.150000,0.000000,top
"R13","22k","R_1206_3216Metric",124.855643,-54.600000,180.000000,top
"R19","2k2","R_1206_3216Metric",120.299893,-87.440000,90.000000,top
"R21","1k","R_1206_3216Metric",124.933143,-94.240000,180.000000,top
"R22","2k2","R_1206_3216Metric",120.299893,-94.440000,90.000000,top
"R23","1k","R_1206_3216Metric",124.933143,-85.740000,180.000000,top
"R24","2k2","R_1206_3216Metric",120.299893,-81.840000,90.000000,top
"R25","1k","R_1206_3216Metric",124.933143,-83.340000,180.000000,top
"R26","2k2","R_1206_3216Metric",120.299893,-76.240000,90.000000,top
"R27","1k","R_1206_3216Metric",124.933143,-72.840000,180.000000,top
"R101","1k","R_1206_3216Metric",137.055643,-84.090000,0.000000,top
"R103","1k","R_1206_3216Metric",137.014357,-64.304678,90.000000,top
"R104","1k","R_1206_3216Metric",134.639357,-64.304678,90.000000,top
"R108","4k7","R_1206_3216Metric",139.414357,-64.304678,90.000000,top
"R109","4k7","R_1206_3216Metric",141.814357,-64.304678,90.000000,top
"U4","L7805","SOT-223",129.800000,-102.400000,90.000000,top
"U6","TL074","SOIC-14_3.9x8.7mm_P1.27mm",137.155643,-56.140000,180.000000,top
"U102","DAC6573","TSSOP-16_4.4x5mm_P0.65mm",139.555643,-72.140000,90.000000,top
